cWed Feb  5 09:51:21 2020 [pid 2] CONNECT: Client "192.168.81.235"
Wed Feb  5 10:42:33 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 Switching to Binary mode."
Wed Feb  5 10:42:33 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,193,249"
Wed Feb  5 10:42:33 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:42:33 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "RETR download.txt"
Wed Feb  5 10:42:33 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "550 Failed to open file."
Wed Feb  5 10:42:33 2020 [pid 3] [crio-user] FAIL DOWNLOAD: Client "192.168.8.240", "/home/crio-user/workspace/ftp_client/download.txt", 0.00Kbyte/sec
Wed Feb  5 10:43:38 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "TYPE A"
Wed Feb  5 10:43:38 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 Switching to ASCII mode."
Wed Feb  5 10:43:38 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,196,189"
Wed Feb  5 10:43:39 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:43:39 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:43:39 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:43:39 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:43:47 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "TYPE I"
Wed Feb  5 10:43:47 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 Switching to Binary mode."
Wed Feb  5 10:43:47 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,171,11"
Wed Feb  5 10:43:47 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:43:47 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "STOR upload.txt"
Wed Feb  5 10:43:47 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "550 Permission denied."
Wed Feb  5 10:43:51 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,137,133"
Wed Feb  5 10:43:51 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:43:51 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "RETR download.txt"
Wed Feb  5 10:43:51 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "550 Failed to open file."
Wed Feb  5 10:43:51 2020 [pid 3] [crio-user] FAIL DOWNLOAD: Client "192.168.8.240", "/home/crio-user/workspace/ftp_client/download.txt", 0.00Kbyte/sec
Wed Feb  5 10:46:33 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "TYPE A"
Wed Feb  5 10:46:33 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 Switching to ASCII mode."
Wed Feb  5 10:46:33 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,157,39"
Wed Feb  5 10:46:33 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:46:34 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:46:34 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:46:34 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:46:51 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "CWD ~/workspace/ftp_server"
Wed Feb  5 10:46:51 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "250 Directory successfully changed."
Wed Feb  5 10:46:52 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,154,187"
Wed Feb  5 10:46:52 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:46:52 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:46:52 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:46:52 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:47:05 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "TYPE I"
Wed Feb  5 10:47:05 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 Switching to Binary mode."
Wed Feb  5 10:47:05 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,177,219"
Wed Feb  5 10:47:05 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:47:05 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "STOR download.txt"
Wed Feb  5 10:47:05 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "550 Permission denied."
Wed Feb  5 10:47:13 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,143,161"
Wed Feb  5 10:47:13 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:47:13 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "RETR download.txt"
Wed Feb  5 10:47:13 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Opening BINARY mode data connection for download.txt (40 bytes)."
Wed Feb  5 10:47:13 2020 [pid 3] [crio-user] OK DOWNLOAD: Client "192.168.8.240", "/home/crio-user/workspace/ftp_server/download.txt", 40 bytes, 0.79Kbyte/sec
Wed Feb  5 10:47:14 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Transfer complete."
Wed Feb  5 10:47:26 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "CWD ~/workspace/ftp_client"
Wed Feb  5 10:47:26 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "250 Directory successfully changed."
